Student_ID,Age,Gender,Attendance_Percentage,Assignments_Completed,Class_Participation,Midterm_Grade,Final_Grade,Study_Hours_per_Week,Projects_Submitted,Teaching_Clarity,Teaching_Helpfulness,Feedback_Timeliness,Student_Performance,Teaching_Effectiveness
S0274,25,Male,97.77,7,9.1,58.9,17.6,6,5,2.89,3.42,2.47,Excellent,Moderate
S0275,18,Female,89.35,9,6.39,93.87,86.62,9,5,3.57,3.94,4.63,Average,High
S0276,21,Male,65.77,10,9.54,34.99,44.42,15,3,1.43,1.44,2.22,Good,Moderate
S0277,18,Male,84.41,5,8.82,24.38,13.71,11,1,2.74,4.45,3.17,Poor,Moderate
S0278,23,Female,71.88,4,5.84,65.59,86.22,6,4,4.89,4.36,1.08,Average,Moderate
S0279,18,Female,62.73,9,8.34,19.88,81.61,17,4,1.15,3.61,3.09,Excellent,High
S0280,19,Female,92.04,10,6.43,31.5,98.39,14,2,2.26,3.01,3.55,Good,High
S0281,21,Female,51.92,8,0.79,22.46,90.97,5,3,2.26,3.89,1.94,Good,Moderate
S0282,21,Female,95.09,1,7.41,6.92,85.18,11,2,3.53,1.02,3.32,Excellent,Moderate
S0283,23,Male,73.07,4,0.95,82.75,5.26,10,2,1.42,3.37,3.59,Poor,Moderate
S0284,24,Male,81.86,5,5.94,25.45,10.44,19,4,3.51,4.39,3.75,Average,Low
S0285,19,Male,82.97,6,7.03,47.3,56.9,2,2,1.38,2.43,4.11,Good,Moderate
S0286,20,Other,94.76,4,0.67,4.33,53.15,1,1,1.38,1.43,2.25,Good,Moderate
S0287,18,Female,81.83,8,2.31,69.93,45.8,5,2,3.91,2.68,3.27,Excellent,Moderate
S0288,22,Male,80.7,0,9.16,33.06,39.68,4,1,2.3,3.91,4.93,Good,Low
S0289,18,Female,53.33,6,6.16,74.47,43.12,17,4,4.91,1.43,4.59,Good,Moderate
S0290,25,Other,75.92,9,2.46,41.24,56.93,15,3,1.15,1.82,4.81,Good,Moderate
S0291,18,Male,57.51,6,6.91,19.58,0.21,7,5,2.78,1.59,2.54,Poor,Moderate
S0292,20,Female,86.87,3,5.97,51.32,26.07,19,1,1.45,4.19,4.15,Excellent,Moderate
S0293,18,Female,75.61,8,5.02,13.05,51.83,10,3,2.41,1.25,3.48,Good,Moderate
S0294,19,Female,84.01,10,9.76,44.05,72.22,9,3,4.99,3.75,1.33,Average,Moderate
S0295,19,Male,52.08,4,6.83,31.73,17.42,11,1,4.56,2.47,4.3,Good,Low
S0296,21,Female,54.24,3,3.75,91.2,54.69,5,4,1.19,4.02,3.71,Excellent,Low
S0297,23,Other,85.82,6,8.0,6.09,71.45,19,0,3.25,4.86,1.8,Good,High
S0298,24,Female,53.6,3,8.85,69.4,44.46,4,3,3.59,1.46,1.32,Good,High
S0299,22,Female,53.56,2,1.25,18.28,2.71,8,3,1.84,2.26,4.35,Poor,High
S0300,25,Other,50.61,8,2.01,31.9,44.93,15,4,1.58,4.24,1.32,Poor,Moderate
S0301,18,Female,97.83,10,2.16,41.55,29.64,13,4,4.62,2.06,1.37,Poor,Moderate
S0302,18,Male,86.88,7,6.91,90.8,92.96,7,2,4.88,1.86,2.71,Average,High
S0303,20,Female,67.66,0,6.03,24.26,12.46,19,4,4.97,4.3,1.54,Good,High
S0304,23,Female,64.83,6,6.19,9.13,65.25,18,3,4.16,4.95,4.65,Poor,Moderate
S0305,19,Male,67.49,8,9.41,31.87,5.27,13,1,3.65,3.23,2.88,Poor,High
S0306,22,Female,88.73,7,7.76,10.47,44.62,6,0,2.38,2.11,3.28,Good,High
S0307,21,Other,83.07,7,1.28,12.86,55.4,4,2,1.69,2.59,4.71,Good,Moderate
S0308,19,Other,59.26,5,3.48,57.39,29.8,17,1,1.32,1.68,3.12,Good,High
S0309,25,Female,58.71,10,4.35,6.09,45.51,1,0,3.77,4.05,2.41,Excellent,High
S0310,23,Male,54.92,3,3.96,3.09,16.36,10,0,4.14,4.09,4.19,Excellent,Low
S0311,25,Other,83.02,7,6.69,71.44,30.41,7,0,4.31,4.5,2.77,Poor,Low
S0312,24,Female,88.22,2,8.92,36.16,62.11,0,5,4.66,1.11,2.27,Poor,Moderate
S0313,21,Male,63.25,8,3.06,12.54,30.18,11,1,4.52,3.25,3.89,Excellent,High
S0314,24,Other,51.05,1,5.52,25.36,89.97,1,2,5.0,1.86,4.21,Good,Moderate
S0315,20,Female,54.11,1,7.89,64.21,62.84,17,2,1.98,2.36,4.17,Average,Moderate
S0316,25,Female,98.39,6,4.16,27.55,43.86,6,0,4.05,4.14,4.91,Average,High
S0317,20,Female,64.77,9,1.68,49.45,3.88,16,1,3.35,1.77,4.15,Good,High
S0318,18,Male,88.46,3,4.75,12.17,49.95,13,5,2.04,3.55,4.08,Average,High
S0319,24,Male,81.23,9,0.55,58.81,76.48,6,0,4.93,3.62,4.43,Average,Moderate
S0320,23,Male,69.1,7,9.42,31.61,26.56,2,4,4.59,4.82,1.0,Poor,Low
S0321,25,Female,60.28,8,0.75,62.7,80.68,5,2,1.51,4.1,2.45,Good,Moderate
S0322,22,Male,56.07,6,4.38,80.84,25.18,19,3,1.1,4.21,3.95,Excellent,Moderate
S0323,21,Male,80.75,4,5.3,61.16,82.37,1,0,3.75,3.13,3.4,Poor,Moderate
S0324,19,Male,88.73,7,9.85,29.57,8.53,16,4,3.42,1.75,1.71,Excellent,Moderate
S0325,23,Female,82.2,3,1.66,25.57,86.62,11,2,4.74,2.7,2.21,Average,Moderate
S0326,23,Other,76.52,1,1.14,32.74,49.92,11,5,1.94,3.2,2.35,Excellent,High
S0327,20,Male,52.1,10,0.09,16.46,29.65,16,1,1.34,3.71,3.27,Good,Moderate
S0328,24,Male,98.42,5,1.56,18.12,26.51,9,2,2.04,3.43,4.33,Good,Low
S0329,25,Female,89.94,8,2.07,79.07,43.2,2,1,1.08,2.58,4.73,Excellent,Moderate
S0330,25,Female,64.64,0,6.31,38.47,99.9,19,1,1.14,2.06,4.0,Poor,Low
S0331,18,Male,99.0,10,2.2,43.6,22.03,17,5,4.66,1.67,4.37,Excellent,Moderate
S0332,18,Female,80.09,9,0.21,59.4,10.32,12,5,2.41,3.78,2.88,Average,Moderate
S0333,21,Male,79.12,6,8.27,58.97,58.5,11,0,2.64,3.58,2.56,Average,High
S0334,20,Male,87.4,9,3.66,6.74,48.85,16,0,1.07,3.75,2.57,Good,Moderate
S0335,23,Female,90.59,8,3.54,83.15,52.42,3,2,2.08,2.49,3.46,Average,Low
S0336,25,Male,82.82,9,3.02,17.73,66.69,9,5,4.22,2.05,1.5,Good,Moderate
S0337,22,Other,56.4,8,9.75,72.31,26.71,10,4,3.46,4.04,3.32,Average,High
S0338,20,Male,66.91,9,1.7,77.27,91.07,5,2,4.02,4.09,3.66,Good,High
S0339,21,Female,96.4,10,8.98,71.49,43.57,5,3,2.79,2.82,2.76,Good,Moderate
S0340,21,Female,61.23,2,7.77,57.9,12.91,8,1,2.24,3.45,4.81,Good,Moderate
S0341,20,Male,68.61,10,0.76,1.46,74.23,14,1,2.93,2.49,3.43,Average,Moderate
S0342,21,Female,71.6,4,9.87,36.04,64.31,1,0,2.29,3.81,1.88,Poor,Low
S0343,20,Male,71.97,7,2.71,60.48,31.57,3,4,4.36,4.34,2.92,Excellent,Moderate
S0344,19,Other,80.65,7,0.99,38.75,62.15,4,5,2.19,3.75,3.7,Good,Moderate
S0345,20,Male,97.15,3,8.29,86.35,21.99,16,5,3.64,3.05,2.29,Good,High
S0346,24,Male,62.03,10,7.07,30.88,44.48,7,0,1.55,2.83,1.32,Average,High
S0347,20,Male,56.08,10,6.17,29.35,89.94,7,3,3.75,3.57,3.33,Excellent,Moderate
S0348,21,Other,59.87,0,1.56,26.6,13.35,11,2,4.65,3.72,4.79,Average,Low
S0349,25,Female,94.35,0,4.78,33.28,38.67,7,2,3.43,3.23,2.94,Excellent,Moderate
S0350,24,Female,82.29,3,7.81,55.74,82.11,18,4,3.24,3.5,4.62,Good,Moderate
S0351,21,Male,64.3,5,3.04,70.7,96.95,2,0,4.84,1.39,4.34,Average,High
S0352,18,Female,90.8,7,3.12,66.26,45.39,17,0,3.51,4.81,1.59,Average,Low
S0353,18,Male,93.07,5,0.03,80.77,50.7,18,3,2.04,4.16,3.83,Average,Low
S0354,25,Female,92.33,8,1.74,88.59,57.22,18,2,2.17,2.5,2.74,Good,Moderate
S0355,25,Male,95.95,8,8.75,81.61,93.23,14,0,3.82,3.25,2.0,Average,High
S0356,24,Male,62.61,1,4.42,1.89,85.82,5,5,3.94,1.19,3.75,Good,Moderate
S0357,19,Male,87.75,9,9.84,73.59,17.06,15,4,2.21,1.16,3.97,Poor,Low
S0358,25,Female,73.03,0,3.96,20.84,43.68,7,2,2.38,2.0,1.72,Good,Moderate
S0359,18,Female,92.1,1,7.15,13.29,46.4,15,3,4.96,3.76,4.66,Good,Moderate
S0360,20,Male,86.42,4,2.82,63.85,78.91,17,4,1.41,4.41,4.0,Good,High
S0361,21,Female,88.82,3,3.64,31.97,60.29,19,1,2.62,3.24,4.73,Good,High
S0362,18,Female,82.81,3,1.91,5.71,65.42,15,5,1.25,3.13,2.27,Excellent,High
S0363,18,Female,58.87,8,3.47,13.76,99.82,10,3,4.28,2.61,4.76,Average,Low
S0364,19,Male,77.25,10,5.47,0.09,7.5,6,4,1.37,1.65,2.47,Average,Moderate
S0365,24,Male,99.23,7,9.92,90.32,22.3,16,0,3.7,1.47,1.22,Poor,Moderate
S0366,24,Female,96.87,5,6.64,2.46,40.79,16,1,1.23,4.04,4.05,Excellent,High
S0367,23,Male,52.16,0,1.99,20.95,34.78,11,3,3.69,4.71,3.81,Good,Low
S0368,19,Male,58.24,1,0.45,41.63,2.16,12,0,4.37,2.83,3.39,Average,Low
S0369,20,Female,56.59,5,1.26,35.66,9.18,9,5,2.6,3.64,2.96,Good,High
S0370,24,Other,86.3,10,5.63,91.17,68.1,6,1,3.09,4.66,1.13,Good,Low
S0371,21,Male,90.89,1,7.65,4.03,87.93,13,2,2.61,1.36,3.5,Average,High
S0372,25,Male,60.68,9,9.4,51.22,51.42,0,0,2.2,4.08,2.67,Good,High
S0373,19,Female,75.29,4,0.16,68.05,53.92,16,4,4.21,3.47,3.24,Excellent,High
S0374,25,Male,92.04,4,5.23,93.17,25.51,3,3,2.09,3.39,2.72,Average,Low
S0375,18,Male,86.64,5,4.71,62.04,76.79,4,1,3.89,2.17,4.86,Excellent,Low
S0376,21,Male,77.11,5,6.56,80.38,75.18,19,0,1.82,3.74,3.42,Average,Moderate
S0377,21,Female,79.52,5,5.6,8.37,58.84,6,2,2.0,4.18,4.0,Excellent,Moderate
S0378,18,Female,75.42,1,6.87,38.59,21.27,9,3,2.35,1.45,4.75,Average,Moderate
S0379,19,Male,64.88,9,6.58,37.39,9.7,16,3,3.36,3.13,3.37,Excellent,Low
S0380,18,Male,78.25,2,1.17,88.63,6.42,6,0,2.82,1.41,1.05,Average,High
S0381,25,Male,84.44,5,8.0,15.14,59.27,0,2,3.98,4.49,1.14,Excellent,Moderate
S0382,23,Female,93.67,7,1.23,15.19,82.5,6,5,1.85,3.03,3.81,Average,Moderate
S0383,21,Male,81.81,10,6.99,32.86,85.83,10,5,1.04,4.23,2.12,Good,High
S0384,22,Male,88.06,0,4.16,5.45,46.36,8,1,4.11,2.47,3.32,Excellent,Moderate
S0385,22,Female,58.0,0,5.14,18.25,78.43,11,0,4.29,1.5,1.81,Average,Moderate
S0386,25,Male,73.08,10,9.03,96.52,94.69,2,1,1.24,1.17,2.08,Good,High
S0387,20,Female,50.47,1,8.9,42.82,27.52,3,5,3.44,2.13,3.02,Excellent,Low
S0388,24,Male,62.33,10,8.18,63.2,39.8,3,3,2.51,1.98,4.9,Excellent,High
S0389,18,Male,86.32,5,5.1,72.61,93.15,12,1,4.18,3.24,3.47,Good,Low
S0390,18,Male,99.59,8,7.36,36.7,33.82,18,2,4.5,1.09,4.74,Excellent,High
S0391,20,Female,54.96,3,5.13,14.72,91.39,9,4,4.4,3.08,4.84,Excellent,High
S0392,20,Female,70.07,2,8.7,20.66,98.1,4,5,4.11,2.57,1.83,Good,High
S0393,25,Female,90.0,7,4.03,31.33,66.18,6,5,2.08,3.31,2.24,Average,Moderate
S0394,25,Male,60.2,10,9.7,63.61,81.69,15,2,4.25,3.81,4.08,Good,Moderate
S0395,20,Female,77.75,9,9.32,39.83,74.95,0,1,3.13,3.54,4.47,Excellent,High
S0396,21,Male,86.65,8,7.42,0.68,69.95,11,0,1.21,4.94,3.08,Poor,High
S0397,25,Male,80.8,10,2.79,52.34,30.69,1,3,2.83,1.55,4.97,Average,Moderate
S0398,23,Female,59.4,4,1.32,92.15,5.71,6,4,4.77,2.72,1.05,Good,Moderate
S0399,25,Male,67.77,8,8.55,81.21,34.31,10,0,4.55,2.7,2.2,Excellent,Moderate
S0400,18,Male,89.19,1,1.65,82.52,66.69,12,0,1.41,2.67,3.49,Poor,High
S0401,25,Male,77.71,2,8.54,79.51,10.25,1,2,3.98,3.66,2.88,Good,Moderate
S0402,21,Male,50.26,6,4.91,32.37,1.19,6,1,4.22,2.96,1.47,Good,Moderate
S0403,20,Male,88.05,6,4.07,76.52,13.97,14,5,2.09,3.07,2.47,Good,Low
S0404,18,Female,51.77,5,9.03,14.32,71.57,10,5,2.89,2.73,1.1,Average,Moderate
S0405,25,Male,87.29,5,6.04,65.77,97.28,1,2,3.84,4.97,3.57,Excellent,High
S0406,21,Female,60.12,1,5.77,64.16,98.31,6,1,2.76,4.71,4.57,Average,High
S0407,23,Female,97.9,9,5.59,2.56,49.4,3,2,1.45,2.23,4.54,Average,Moderate
S0408,25,Male,68.4,5,3.71,78.8,86.94,10,5,3.82,1.45,3.8,Good,Moderate
S0409,21,Male,66.35,3,7.86,90.32,73.68,1,0,4.65,4.36,2.86,Average,Low
S0410,23,Male,57.44,2,2.53,26.74,50.1,15,3,3.61,4.99,3.05,Excellent,Moderate
S0411,20,Female,65.28,10,9.39,81.24,57.28,6,1,4.1,2.17,1.55,Good,Moderate
S0412,25,Male,93.83,1,8.94,8.24,13.72,12,4,2.43,2.43,2.36,Good,Moderate
S0413,23,Female,99.82,0,3.37,60.0,93.77,4,4,1.73,4.77,1.75,Good,Moderate
S0414,18,Male,68.42,10,7.29,48.56,35.19,16,0,3.57,3.84,4.28,Good,High
S0415,20,Female,72.43,10,5.73,54.59,44.61,11,2,2.31,2.18,4.66,Good,High
S0416,18,Male,86.1,4,3.38,92.62,67.17,18,2,4.44,3.32,3.15,Excellent,Moderate
S0417,22,Male,94.31,1,9.89,87.13,33.39,6,5,1.49,4.78,3.91,Good,High
S0418,19,Other,79.65,1,0.25,78.51,25.43,5,0,2.73,4.25,1.49,Good,High
S0419,25,Female,69.58,6,2.53,27.37,63.1,7,5,2.59,3.97,3.43,Average,High
S0420,23,Male,70.63,7,5.2,91.18,2.5,12,5,4.75,3.95,3.81,Excellent,High
S0421,19,Female,84.78,9,5.22,9.75,72.07,4,4,1.61,1.71,2.81,Average,High
S0422,19,Female,50.16,7,5.89,85.33,51.4,1,5,1.04,4.3,1.97,Good,Moderate
S0423,23,Female,80.98,3,7.52,32.82,60.58,8,5,1.95,2.1,4.51,Excellent,Moderate
S0424,20,Female,67.77,0,6.23,5.38,63.19,10,4,4.28,4.72,3.97,Good,Moderate
S0425,25,Male,89.71,10,6.0,66.94,52.71,5,2,1.84,2.46,4.6,Good,Moderate
S0426,22,Male,54.65,6,0.54,23.13,58.25,6,1,1.96,4.43,4.27,Good,Low
S0427,18,Male,79.41,0,3.77,24.36,68.38,6,3,1.52,2.06,4.96,Good,High
S0428,21,Female,74.05,10,2.32,30.6,75.31,18,5,3.86,3.06,1.77,Poor,Moderate
S0429,18,Female,82.12,3,2.65,6.37,72.75,5,1,1.28,1.43,1.35,Poor,High
S0430,21,Male,53.24,7,5.54,17.71,86.96,10,4,2.32,3.64,2.35,Good,Moderate
S0431,18,Male,79.0,1,2.0,0.51,18.94,10,1,2.13,4.34,1.52,Average,Low
S0432,23,Female,78.07,5,2.94,44.54,40.11,6,3,3.22,3.87,3.09,Excellent,Moderate
S0433,22,Other,78.03,5,2.37,8.43,94.78,1,1,3.92,3.09,3.53,Good,Moderate
S0434,25,Female,80.17,8,9.49,68.27,39.66,18,1,3.13,1.18,3.31,Average,Moderate
S0435,21,Male,83.82,4,9.45,23.56,12.49,3,1,4.72,4.73,2.04,Good,Moderate
S0436,25,Male,90.25,9,6.1,94.36,52.54,5,1,4.81,3.82,4.64,Excellent,High
S0437,25,Male,63.49,3,9.25,87.13,10.95,16,0,2.45,3.98,1.08,Excellent,Moderate
S0438,25,Other,91.25,4,7.86,28.94,20.29,4,5,4.11,4.18,2.39,Good,Moderate
S0439,24,Male,74.91,9,5.9,78.32,99.83,6,4,3.96,3.99,3.88,Good,Moderate
S0440,20,Female,53.85,10,0.06,80.32,54.14,8,3,4.57,2.76,4.07,Good,High
S0441,18,Male,52.93,4,7.73,98.66,28.41,0,4,2.79,3.93,2.66,Good,Low
S0442,25,Female,66.71,7,7.02,59.78,99.48,0,0,3.12,3.5,1.07,Good,High
S0443,18,Female,89.24,9,6.15,8.2,96.66,18,0,2.66,4.42,3.47,Average,High
S0444,25,Female,85.38,7,7.6,64.68,44.07,5,0,4.4,4.21,1.25,Excellent,Moderate
S0445,21,Male,89.43,1,5.13,62.5,26.04,17,5,1.92,1.17,1.43,Average,High
S0446,20,Male,75.86,6,7.04,63.84,83.84,9,0,1.96,2.52,3.6,Average,Moderate
S0447,20,Male,72.01,7,9.35,30.71,71.56,10,1,2.49,1.14,2.25,Average,Moderate
S0448,23,Other,57.37,10,3.76,85.97,68.69,0,4,1.92,1.41,2.39,Average,Moderate
S0449,24,Female,66.41,5,7.08,95.95,89.31,0,2,3.24,3.41,2.95,Good,Moderate
S0450,23,Female,71.7,4,4.76,21.77,68.94,12,3,1.54,4.5,4.91,Good,Moderate
S0451,23,Female,54.43,10,6.74,8.82,28.38,4,0,2.28,1.48,4.86,Good,Low
S0452,23,Female,61.03,8,7.63,19.45,69.39,19,4,4.65,2.8,2.67,Poor,Moderate
S0453,23,Male,79.91,2,0.45,82.06,30.58,0,0,2.64,4.64,2.06,Good,Moderate
S0454,23,Other,86.78,9,6.47,67.66,75.92,19,5,3.99,4.26,2.21,Excellent,Low
S0455,22,Male,99.92,3,2.27,63.6,61.97,2,0,1.45,3.08,2.08,Excellent,High
S0456,20,Male,96.66,8,6.7,40.18,7.74,17,0,1.99,4.09,3.13,Poor,Moderate
S0457,23,Female,82.13,5,4.68,57.78,51.28,8,0,4.23,3.09,3.43,Excellent,High
S0458,25,Male,71.06,7,7.74,30.79,34.33,13,0,4.05,1.63,2.96,Excellent,High
S0459,20,Male,81.81,6,1.23,47.72,32.86,16,3,2.54,1.5,2.63,Good,High
S0460,20,Female,89.28,10,6.26,79.31,60.23,13,4,4.82,1.75,1.85,Poor,Moderate
S0461,19,Male,55.92,1,2.78,98.12,32.23,3,5,4.64,2.4,2.93,Good,Moderate
S0462,22,Female,70.5,2,8.53,93.25,77.69,4,0,4.85,4.72,2.36,Good,High
S0463,23,Male,91.99,0,9.28,93.39,7.08,16,0,2.71,4.2,3.17,Average,Low
S0464,18,Male,69.19,8,9.96,40.22,66.04,1,0,1.79,2.73,3.7,Excellent,Moderate
S0465,21,Male,78.59,6,7.96,46.88,80.92,4,0,3.51,2.97,3.53,Average,Low
S0466,24,Male,79.39,0,7.54,70.56,67.28,3,1,3.74,2.06,2.85,Good,Low
S0467,25,Female,59.22,2,2.16,92.22,49.72,3,1,1.5,3.82,3.22,Good,Moderate
S0468,18,Male,68.11,3,3.36,14.2,95.03,5,2,4.15,4.21,2.14,Average,Low
S0469,22,Female,66.73,3,4.66,30.42,29.99,19,0,1.07,1.96,1.1,Poor,Moderate
S0470,21,Female,51.31,4,7.73,13.92,1.92,12,2,2.93,1.17,3.5,Good,Low
S0471,22,Female,51.21,2,9.15,61.2,43.2,4,3,2.32,3.5,2.01,Excellent,High
S0472,25,Other,91.58,2,1.89,30.63,3.3,6,2,3.96,3.25,3.68,Average,Moderate
S0473,20,Female,63.65,0,9.22,32.61,95.39,19,4,2.25,2.61,3.99,Good,Moderate
S0474,21,Male,75.9,6,6.96,7.09,20.99,0,1,4.31,3.58,4.66,Poor,Moderate
S0475,20,Male,64.94,10,6.11,34.98,78.89,13,1,3.38,3.2,4.83,Poor,Low
S0476,25,Male,97.03,9,2.0,86.25,77.46,3,0,4.18,2.0,1.04,Excellent,Low
S0477,18,Female,62.96,0,0.56,23.31,21.77,16,0,4.96,2.59,4.96,Poor,High
S0478,25,Male,71.48,1,5.68,69.52,62.12,13,3,3.72,2.71,3.73,Good,Low
S0479,18,Female,93.64,3,6.52,62.96,4.81,15,5,4.94,4.52,3.57,Average,High
S0480,21,Female,92.1,3,2.11,86.35,48.36,13,3,1.12,4.84,1.06,Excellent,Moderate
S0481,21,Male,59.31,4,5.56,13.23,1.46,15,4,2.35,4.57,4.44,Average,Moderate
S0482,23,Female,90.13,10,8.56,97.76,92.11,19,0,1.43,3.88,1.58,Average,High
S0483,22,Male,72.91,1,8.35,58.26,97.61,7,0,2.05,3.34,4.35,Average,Moderate
S0484,23,Male,74.15,3,9.27,99.55,22.23,2,3,4.36,3.76,1.06,Poor,Moderate
S0485,22,Female,56.67,0,3.66,91.15,20.81,18,3,1.13,4.76,3.58,Good,High
S0486,23,Female,54.03,1,3.18,22.15,75.37,0,3,3.08,2.0,2.74,Good,Moderate
S0487,20,Female,86.4,0,7.49,5.62,25.34,1,1,3.27,3.14,1.8,Average,Moderate
S0488,21,Male,74.82,9,4.31,25.56,89.51,14,2,3.24,3.76,1.43,Average,Moderate
S0489,18,Male,71.84,9,0.88,52.76,57.39,9,2,2.9,3.72,2.76,Poor,High
S0490,22,Female,86.48,3,2.83,17.16,35.08,17,0,4.16,2.01,1.49,Poor,Low
S0491,25,Female,88.28,3,4.19,16.75,83.27,13,1,1.53,3.35,2.95,Good,Low
S0492,22,Female,57.95,6,2.93,46.26,49.34,16,3,2.24,4.18,3.5,Good,High
S0493,18,Male,80.51,9,3.32,3.33,91.16,12,0,3.46,2.9,4.31,Good,High
S0494,23,Female,56.77,10,2.94,12.19,92.8,0,1,3.76,4.17,3.71,Average,Low
S0495,22,Male,87.57,10,0.41,41.59,16.54,4,4,2.62,2.44,1.26,Good,Moderate
S0496,24,Male,82.85,8,6.37,6.31,0.23,12,5,4.5,4.76,2.23,Average,High
S0497,20,Other,97.83,8,5.97,39.68,98.39,13,1,2.66,3.14,2.15,Excellent,Moderate
S0498,21,Male,53.45,4,6.53,47.4,90.61,2,0,2.61,3.38,4.66,Excellent,Moderate
S0499,18,Other,52.85,9,1.92,45.13,5.54,14,2,1.14,1.13,4.47,Good,Moderate
S0500,21,Male,64.11,0,2.96,86.92,83.3,18,3,3.2,1.68,2.48,Excellent,High
S0501,24,Male,63.09,0,6.2,53.01,45.78,16,5,3.83,3.53,1.28,Average,Moderate
S0502,22,Female,62.35,5,6.0,46.8,25.9,2,4,1.46,2.68,4.58,Excellent,High
S0503,22,Female,95.31,1,5.06,41.07,87.87,15,5,2.22,3.03,4.55,Excellent,Low
S0504,25,Female,62.48,7,3.5,81.76,19.67,13,5,4.13,1.25,4.42,Excellent,Moderate
S0505,24,Female,63.6,8,9.13,89.51,94.73,11,1,2.46,4.34,4.38,Average,Moderate
S0506,18,Female,87.97,3,3.4,85.32,20.56,11,0,1.97,4.14,2.92,Average,Moderate
S0507,25,Female,72.49,4,4.56,67.35,61.37,10,0,3.69,1.74,1.71,Excellent,Moderate
S0508,20,Female,88.84,10,6.78,13.74,22.31,16,5,1.79,3.54,2.91,Average,Low
S0509,25,Male,53.27,7,5.43,27.69,54.57,7,3,4.58,4.27,2.98,Good,High
S0510,19,Female,74.38,2,3.47,4.61,68.4,16,0,1.42,3.56,2.96,Good,Low
S0511,18,Male,51.68,4,4.36,93.08,19.02,19,5,3.83,2.24,3.16,Average,High
S0512,19,Other,53.13,2,7.94,66.08,52.09,10,0,3.0,3.62,2.03,Excellent,Moderate
S0513,24,Other,95.32,9,2.78,74.64,46.91,1,3,4.48,1.84,2.46,Average,Moderate
S0514,23,Male,56.96,2,1.42,31.16,7.1,9,4,1.5,2.27,2.74,Excellent,Moderate
S0515,19,Female,76.62,2,3.13,84.57,81.83,9,5,3.71,1.96,1.52,Poor,Low
S0516,20,Other,70.55,6,8.5,25.96,33.57,10,2,3.29,3.23,2.82,Excellent,Moderate
S0517,25,Male,67.37,6,0.89,0.16,57.46,5,2,2.92,1.43,4.24,Good,Moderate
S0518,23,Female,94.99,6,9.92,37.64,51.48,3,5,2.97,4.73,4.31,Poor,Low
S0519,25,Other,51.09,9,5.41,57.08,51.33,11,1,3.89,2.33,2.65,Excellent,High
S0520,19,Male,83.19,7,9.85,47.87,10.72,10,4,4.75,1.88,3.08,Good,Low
S0521,25,Female,98.17,4,9.39,86.21,42.35,12,1,1.37,2.99,1.13,Good,Moderate
S0522,24,Male,78.01,4,4.53,10.54,45.24,4,2,1.08,2.11,3.7,Good,Moderate
S0523,23,Other,96.84,3,1.98,55.38,73.36,5,3,4.22,3.14,2.62,Good,High
S0524,24,Other,52.61,6,1.65,51.3,84.0,0,5,1.43,2.39,2.78,Excellent,Moderate
S0525,19,Other,70.94,9,2.4,28.14,54.5,5,0,4.95,1.53,4.49,Average,High
S0526,24,Female,63.01,3,7.1,82.22,8.68,17,2,3.48,2.06,2.85,Good,High
S0527,20,Female,86.54,1,2.73,75.28,23.68,8,4,3.6,2.75,1.08,Average,High
S0528,19,Female,99.06,3,3.41,73.29,16.49,14,2,1.8,1.12,1.91,Good,Moderate
S0529,19,Male,62.83,7,4.49,87.62,12.46,7,4,1.96,4.08,2.9,Good,Moderate
S0530,19,Female,82.71,8,9.13,72.28,36.59,18,4,3.64,3.49,2.7,Good,Low
S0531,18,Male,59.9,2,1.89,23.18,22.94,15,5,4.64,3.41,4.44,Good,High
S0532,25,Female,78.27,6,0.05,70.56,21.83,5,4,4.93,3.18,3.17,Good,Moderate
S0533,18,Male,73.2,8,0.6,30.77,5.47,5,1,1.79,3.36,3.76,Good,Moderate
S0534,18,Male,98.6,10,9.05,24.22,1.77,2,3,1.54,4.74,2.88,Good,Moderate
S0535,20,Male,80.43,3,6.48,7.3,10.28,9,2,1.23,1.03,2.76,Excellent,Low
S0536,23,Female,67.48,9,2.73,74.4,17.22,0,3,4.47,1.19,2.79,Good,Moderate
S0537,25,Male,55.7,2,1.77,71.1,43.1,13,0,2.18,1.77,2.64,Excellent,Low
S0538,24,Female,57.56,4,2.94,23.45,51.05,3,2,1.01,1.67,3.15,Average,Moderate
S0539,22,Male,61.27,0,1.15,74.94,14.06,11,3,1.9,1.72,2.0,Good,Moderate
S0540,19,Male,62.55,2,9.42,91.78,42.48,5,3,2.36,3.69,4.56,Good,Moderate
S0541,24,Female,92.53,7,7.84,10.8,34.17,10,5,4.96,2.84,2.33,Good,Low
S0542,19,Female,78.06,10,4.62,23.26,18.34,11,5,3.09,4.97,1.59,Good,Low
S0543,20,Male,76.17,7,8.65,75.03,0.68,9,0,1.82,1.91,1.39,Good,Moderate
S0544,19,Female,55.74,3,2.49,27.45,46.7,17,4,2.34,2.24,1.05,Poor,Low
S0545,18,Female,93.01,1,7.17,62.47,68.57,6,2,2.32,4.94,2.69,Average,High
S0546,25,Female,86.14,7,8.56,8.12,22.63,6,5,1.08,4.33,1.75,Average,Low
S0547,22,Male,53.38,7,3.57,45.22,13.18,10,2,1.54,2.88,1.09,Average,High
S0548,21,Male,85.39,9,7.57,73.91,88.7,3,0,3.78,3.22,3.08,Good,High
S0549,19,Female,77.18,3,2.95,68.65,27.5,19,5,1.48,4.37,3.72,Excellent,High
