Age,Gender,Country,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Screen_Time_Hours_Per_Day,Attendance_Percentage,Family_Income_Level,Stress_Level,Mental_Health_Score,Final_Exam_Score,Pass_Fail
19,Male,USA,18,7.6,1.1,68,Medium,4,63,38.0,Fail
21,Male,UK,31,8.8,9.8,71,Medium,7,93,41.0,Fail
23,Male,Canada,45,5.1,9.7,84,Medium,3,75,69.0,Pass
19,Male,Pakistan,44,7.3,4.6,79,Medium,5,80,71.0,Pass
15,Female,Pakistan,32,7.7,7.6,78,Low,5,30,43.0,Fail
24,Male,Pakistan,30,8.2,4.1,71,Medium,2,25,58.0,Pass
24,Female,France,6,6.1,7.0,60,High,10,75,1.0,Fail
15,Female,Pakistan,29,5.5,8.2,69,Medium,2,71,63.0,Pass
16,Male,USA,7,5.6,9.5,78,Medium,4,26,49.0,Fail
20,Female,UK,12,7.6,4.6,90,High,4,56,27.0,Fail
23,Female,Australia,48,8.1,8.0,91,Medium,4,22,84.0,Pass
22,Female,India,37,4.9,3.4,83,Medium,6,89,53.0,Pass
19,Female,USA,46,5.9,9.9,50,Medium,2,19,78.0,Pass
15,Male,USA,39,8.5,1.2,80,Low,6,31,49.0,Fail
21,Male,France,10,8.0,6.4,79,Medium,7,26,30.0,Fail
19,Female,Australia,43,8.9,6.9,97,High,10,42,57.0,Pass
20,Male,Australia,27,7.8,7.2,67,High,3,41,46.0,Fail
21,Male,India,29,6.0,2.1,66,Medium,8,100,32.0,Fail
17,Male,India,47,7.0,9.4,87,Medium,2,23,88.0,Pass
24,Male,Australia,23,7.3,2.6,63,Medium,8,47,26.0,Fail
17,Male,Pakistan,9,4.4,6.6,72,High,5,13,30.0,Fail
19,Female,USA,15,6.7,3.0,74,High,2,89,34.0,Fail
20,Male,Canada,16,7.5,3.8,64,Low,7,66,27.0,Fail
23,Male,India,14,4.8,5.9,95,Low,2,66,44.0,Fail
19,Male,France,12,7.9,4.8,71,Low,6,16,19.0,Fail
15,Male,France,28,6.9,2.4,52,High,10,73,36.0,Fail
18,Female,India,32,8.8,2.5,68,Low,3,28,70.0,Pass
19,Female,Australia,45,4.2,4.8,93,Medium,9,77,61.0,Pass
24,Female,UK,40,5.3,7.8,83,Medium,3,35,80.0,Pass
24,Female,Canada,41,7.0,9.1,84,High,3,41,85.0,Pass
19,Male,Canada,25,5.5,1.8,99,Low,5,77,44.0,Fail
21,Female,India,12,7.6,4.5,50,Medium,7,31,4.0,Fail
18,Male,Pakistan,13,7.8,1.9,70,High,8,85,28.0,Fail
15,Male,UK,19,4.5,1.1,78,Low,7,32,30.0,Fail
19,Male,Canada,44,6.6,7.0,55,Medium,9,54,74.0,Pass
21,Male,India,22,6.5,6.4,86,Low,5,98,45.0,Fail
24,Male,France,46,5.8,2.5,50,High,10,72,47.0,Fail
24,Female,Canada,24,8.7,3.1,50,Low,3,59,28.0,Fail
20,Female,Germany,10,8.1,1.2,76,High,6,41,37.0,Fail
19,Female,UK,16,7.5,8.5,70,Low,5,66,27.0,Fail
18,Female,UK,6,7.6,9.8,65,Medium,4,96,21.0,Fail
16,Male,Germany,11,6.3,2.2,93,High,2,54,48.0,Fail
18,Female,USA,20,8.6,3.1,89,High,7,40,35.0,Fail
24,Male,France,7,7.5,8.8,75,High,5,28,23.0,Fail
24,Female,Germany,49,7.6,9.3,65,Low,4,37,72.0,Pass
17,Male,Australia,7,8.3,4.8,77,Low,8,65,26.0,Fail
24,Male,Australia,31,5.4,1.5,50,Medium,9,74,45.0,Fail
15,Female,India,47,8.0,1.4,85,High,9,55,66.0,Pass
22,Male,UK,44,5.0,6.2,59,High,3,4,67.0,Pass
19,Male,USA,42,5.7,4.5,92,Low,3,99,70.0,Pass
18,Female,USA,37,5.7,1.3,66,Low,5,10,42.0,Fail
22,Male,Canada,32,8.9,6.2,72,Medium,5,47,55.0,Pass
21,Female,Canada,5,8.3,1.1,56,Medium,10,75,27.0,Fail
16,Female,Germany,12,7.5,8.1,93,Low,2,14,30.0,Fail
15,Female,USA,41,7.6,3.8,56,High,1,38,57.0,Pass
18,Male,Germany,36,6.8,1.4,93,Medium,8,12,50.0,Pass
22,Male,France,47,8.7,6.3,64,Low,3,45,78.0,Pass
16,Male,Germany,41,6.5,4.6,83,Low,1,17,77.0,Pass
17,Female,Canada,8,5.9,9.8,95,High,1,80,35.0,Fail
15,Male,UK,34,4.8,5.9,94,Low,2,35,57.0,Pass
15,Female,Germany,10,7.9,3.5,53,Low,6,66,20.0,Fail
17,Female,Pakistan,23,7.7,7.4,63,Medium,6,75,22.0,Fail
19,Male,UK,36,5.9,3.4,63,Low,3,41,59.0,Pass
17,Female,USA,13,4.1,9.1,65,Low,4,67,38.0,Fail
15,Male,USA,16,8.2,4.4,56,Medium,2,29,20.0,Fail
15,Male,Germany,15,4.1,5.9,81,High,2,18,24.0,Fail
22,Male,UK,20,7.5,1.5,68,High,7,20,50.0,Pass
24,Male,Canada,5,8.9,4.8,51,Medium,1,14,14.0,Fail
16,Male,Canada,49,6.2,8.5,59,Medium,7,34,77.0,Pass
17,Female,Australia,25,5.2,8.3,99,High,1,49,57.0,Pass
16,Female,USA,34,7.5,3.0,66,High,6,54,50.0,Pass
17,Female,India,17,8.1,3.0,86,High,3,31,46.0,Fail
21,Male,Australia,38,6.7,8.4,61,High,8,58,43.0,Fail
15,Male,Canada,8,8.8,9.4,55,High,6,42,18.0,Fail
24,Male,UK,32,4.3,1.9,71,Medium,2,58,53.0,Pass
22,Female,France,42,6.5,5.1,81,Low,8,82,49.0,Fail
24,Male,Canada,35,7.6,4.0,90,High,5,30,65.0,Pass
24,Female,UK,31,8.3,8.8,69,High,8,25,43.0,Fail
24,Female,Australia,9,4.9,1.8,50,Low,8,63,12.0,Fail
16,Male,USA,29,8.0,2.9,96,Low,6,19,42.0,Fail
17,Male,Canada,7,6.8,7.8,55,Low,2,72,38.0,Fail
23,Female,Germany,37,6.0,1.5,68,Low,8,92,62.0,Pass
21,Male,UK,8,4.7,5.4,67,Low,6,8,30.0,Fail
18,Female,USA,29,8.3,5.0,55,Low,6,95,39.0,Fail
24,Male,France,24,4.8,4.0,94,Medium,8,3,28.0,Fail
19,Male,France,38,5.5,4.6,82,Low,1,67,88.0,Pass
16,Female,India,30,5.5,5.8,72,Low,2,86,54.0,Pass
22,Male,UK,9,8.4,2.5,72,Medium,9,81,11.0,Fail
18,Female,Australia,39,7.4,6.1,75,Low,8,100,61.0,Pass
23,Male,India,32,8.0,8.2,62,High,7,17,58.0,Pass
19,Female,India,33,5.3,7.8,56,High,7,14,46.0,Fail
23,Female,Pakistan,13,7.1,2.4,64,Low,5,9,40.0,Fail
18,Male,Canada,42,6.9,2.3,93,Medium,2,62,86.0,Pass
24,Female,UK,10,8.2,3.4,76,High,6,94,15.0,Fail
19,Male,India,23,8.5,4.2,75,Medium,10,21,28.0,Fail
23,Male,Pakistan,48,4.1,4.7,82,High,3,76,87.0,Pass
22,Male,Australia,15,7.4,7.1,64,Low,4,37,4.0,Fail
17,Female,USA,6,4.3,1.5,85,Medium,10,96,16.0,Fail
15,Female,Germany,48,6.7,1.3,94,Medium,2,11,68.0,Pass
17,Male,Germany,48,5.4,4.5,76,Medium,2,20,73.0,Pass
18,Male,UK,13,5.5,7.3,54,High,8,35,17.0,Fail
16,Female,India,25,5.8,2.7,51,High,8,53,30.0,Fail
15,Male,Germany,28,7.1,6.8,82,High,10,47,38.0,Fail
21,Male,Canada,38,5.7,3.3,65,Low,6,75,45.0,Fail
22,Female,Germany,26,7.7,9.0,72,High,5,52,68.0,Pass
21,Male,Germany,7,6.0,9.1,87,Low,8,8,41.0,Fail
19,Female,Germany,16,4.3,3.7,65,Medium,4,4,21.0,Fail
15,Male,France,32,7.9,3.1,63,Medium,4,27,67.0,Pass
21,Female,Pakistan,34,5.4,4.7,78,Low,5,44,53.0,Pass
21,Male,India,30,6.2,3.2,75,High,1,40,58.0,Pass
23,Male,Canada,25,7.4,7.1,84,Low,1,47,53.0,Pass
17,Female,India,32,5.7,8.4,64,Medium,2,94,48.0,Fail
23,Male,France,30,4.3,7.1,52,Medium,8,44,49.0,Fail
15,Female,UK,37,5.9,8.4,72,Low,7,48,57.0,Pass
15,Male,UK,25,8.7,4.6,78,High,10,91,34.0,Fail
18,Female,UK,39,7.2,2.4,83,High,9,85,45.0,Fail
23,Female,Australia,38,7.4,7.6,82,Low,5,52,54.0,Pass
20,Female,Germany,45,7.2,4.2,90,Low,2,84,62.0,Pass
17,Female,Australia,22,5.0,7.0,90,High,7,68,43.0,Fail
15,Male,Pakistan,15,6.1,3.4,72,Medium,8,11,16.0,Fail
18,Male,UK,27,7.8,1.7,56,Low,7,77,36.0,Fail
23,Female,France,26,4.5,9.9,52,High,7,73,50.0,Pass
17,Female,Canada,21,5.4,2.4,81,High,5,4,54.0,Pass
23,Female,India,9,5.4,9.9,80,Medium,2,76,31.0,Fail
21,Male,Germany,48,6.2,9.8,67,Medium,6,73,68.0,Pass
18,Male,USA,15,8.9,8.1,92,Medium,4,77,58.0,Pass
17,Male,Canada,34,4.3,6.9,56,Medium,10,48,48.0,Fail
24,Male,Germany,19,6.6,6.2,90,Medium,2,26,44.0,Fail
19,Female,Australia,31,4.9,8.8,50,Low,9,77,24.0,Fail
19,Female,Australia,39,8.9,3.6,63,High,7,39,59.0,Pass
17,Female,Canada,37,4.6,5.2,81,Low,6,92,68.0,Pass
23,Male,Australia,24,6.0,6.6,55,Low,5,58,31.0,Fail
18,Male,UK,20,7.7,4.7,88,Low,3,19,49.0,Fail
19,Male,Pakistan,38,7.5,4.8,59,Low,10,88,45.0,Fail
18,Female,India,6,6.1,4.0,56,Low,10,83,7.0,Fail
19,Female,Pakistan,39,5.7,6.1,75,Medium,4,77,38.0,Fail
21,Male,Germany,44,6.0,8.7,83,Medium,3,77,71.0,Pass
23,Female,India,32,5.3,2.8,79,High,8,58,60.0,Pass
21,Male,France,43,5.0,9.4,85,Low,3,28,66.0,Pass
19,Male,India,10,6.4,7.2,70,High,7,66,23.0,Fail
24,Female,Pakistan,13,5.3,8.4,66,Medium,7,10,17.0,Fail
24,Male,Canada,24,5.4,6.0,82,Medium,7,86,47.0,Fail
21,Female,India,5,7.3,8.0,59,Medium,7,77,11.0,Fail
24,Male,France,12,8.8,1.1,96,Low,2,58,31.0,Fail
19,Female,France,27,7.0,8.4,91,Low,10,73,58.0,Pass
17,Female,France,7,4.4,1.4,61,Medium,3,97,31.0,Fail
21,Female,Pakistan,8,4.4,9.0,65,High,10,14,8.0,Fail
16,Male,India,29,8.8,9.9,90,High,9,84,53.0,Pass
23,Male,USA,42,5.5,3.6,81,Medium,3,15,76.0,Pass
24,Female,Canada,19,4.5,2.9,64,High,2,96,45.0,Fail
24,Female,UK,25,7.0,7.9,76,Medium,9,33,22.0,Fail
15,Male,India,39,7.1,3.3,77,High,10,17,65.0,Pass
20,Male,France,18,7.2,8.8,66,Medium,9,24,22.0,Fail
21,Male,USA,40,5.3,1.9,95,High,4,30,67.0,Pass
22,Female,UK,16,4.1,2.1,99,Low,9,62,62.0,Pass
24,Male,UK,21,8.8,9.8,51,Medium,3,13,39.0,Fail
23,Male,Germany,43,5.3,7.1,85,Medium,7,62,63.0,Pass
16,Female,India,13,7.4,8.6,99,High,7,47,13.0,Fail
24,Male,Pakistan,39,7.5,3.9,56,Medium,8,16,65.0,Pass
16,Male,India,17,7.1,7.1,62,Medium,10,66,11.0,Fail
19,Male,USA,19,5.6,6.3,64,Medium,4,81,26.0,Fail
19,Female,UK,22,5.4,6.4,74,Low,3,96,41.0,Fail
20,Female,India,37,7.0,7.1,72,Low,3,43,76.0,Pass
17,Female,Pakistan,10,8.3,6.2,71,High,5,8,34.0,Fail
22,Female,Germany,31,8.7,4.9,75,Low,1,3,57.0,Pass
15,Female,India,27,4.5,3.5,82,High,10,12,45.0,Fail
20,Female,Canada,31,4.8,7.9,60,Low,3,84,45.0,Fail
18,Female,Germany,38,8.7,3.0,59,High,6,16,56.0,Pass
15,Male,Pakistan,42,7.7,7.2,74,Low,3,78,69.0,Pass
21,Male,USA,18,8.4,3.1,86,Low,5,80,50.0,Pass
23,Female,UK,40,5.0,6.6,97,High,9,59,73.0,Pass
18,Male,India,12,6.9,7.7,92,Medium,2,49,44.0,Fail
18,Male,Pakistan,39,7.5,3.0,87,Medium,2,63,66.0,Pass
20,Female,Germany,23,7.4,1.5,90,Low,6,62,53.0,Pass
17,Male,Canada,34,6.0,2.2,94,High,6,49,59.0,Pass
20,Male,Pakistan,18,4.1,6.5,73,Medium,8,51,21.0,Fail
21,Male,Australia,24,6.9,8.6,89,High,2,33,48.0,Fail
24,Male,France,29,5.3,1.4,95,Medium,9,30,51.0,Pass
24,Male,Canada,44,6.3,7.6,82,High,2,59,84.0,Pass
17,Female,Germany,28,8.8,4.1,66,Low,1,76,50.0,Pass
21,Female,USA,18,6.0,5.3,73,High,10,15,16.0,Fail
17,Female,UK,30,8.2,9.4,86,Medium,2,82,59.0,Pass
16,Male,Germany,42,4.9,4.0,51,Low,7,92,56.0,Pass
24,Female,France,27,7.4,5.2,81,High,8,23,47.0,Fail
18,Male,USA,26,8.9,1.1,73,Medium,5,78,55.0,Pass
22,Male,India,23,4.5,1.7,58,Low,6,94,46.0,Fail
23,Male,Pakistan,7,4.0,3.3,53,High,1,97,17.0,Fail
21,Male,Australia,46,6.2,1.3,66,Medium,6,45,60.0,Pass
15,Female,Canada,23,4.5,6.7,66,High,8,62,25.0,Fail
17,Female,Canada,13,7.7,4.8,99,High,3,79,48.0,Fail
23,Male,Pakistan,32,8.6,5.9,97,Low,1,71,80.0,Pass
15,Female,Australia,24,6.2,2.6,79,Low,4,15,43.0,Fail
23,Male,Pakistan,49,5.3,3.7,89,Medium,1,46,82.0,Pass
22,Female,India,11,6.2,7.0,60,Low,8,64,34.0,Fail
15,Female,France,18,7.6,9.7,70,Medium,5,46,40.0,Fail
20,Male,USA,13,4.0,1.5,70,High,1,56,39.0,Fail
19,Female,Germany,23,6.9,9.0,67,High,8,44,24.0,Fail
20,Male,Canada,18,7.1,6.2,78,Medium,9,75,38.0,Fail
24,Female,India,42,7.2,6.1,73,High,10,29,48.0,Fail
19,Male,USA,40,5.2,5.5,59,Low,2,95,51.0,Pass
20,Male,India,44,7.6,1.6,94,High,9,62,64.0,Pass
19,Female,Australia,21,4.5,1.8,66,Low,8,89,27.0,Fail
19,Female,Canada,34,5.0,6.4,67,Medium,7,52,48.0,Fail
18,Male,Germany,13,8.4,4.1,91,Medium,3,54,24.0,Fail
17,Female,Pakistan,37,7.7,9.3,97,High,2,88,80.0,Pass
17,Female,Pakistan,29,4.1,4.7,69,High,7,57,56.0,Pass
18,Male,USA,18,5.2,2.3,86,Low,5,83,20.0,Fail
23,Male,Germany,15,5.1,7.4,94,Low,6,66,47.0,Fail
16,Female,France,39,5.4,3.6,67,High,4,22,53.0,Pass
23,Male,UK,45,5.2,5.7,66,High,2,20,79.0,Pass
15,Male,Australia,18,4.3,7.3,58,Medium,9,33,25.0,Fail
15,Male,USA,34,6.3,9.1,63,Medium,3,72,55.0,Pass
19,Female,UK,45,7.7,8.1,98,Medium,7,25,71.0,Pass
20,Female,India,8,7.0,7.1,78,High,8,46,33.0,Fail
20,Male,Australia,8,7.4,7.1,80,High,2,73,18.0,Fail
17,Female,India,32,4.4,9.5,53,High,6,98,51.0,Pass
21,Male,France,12,8.8,3.7,67,Medium,8,57,34.0,Fail
23,Female,Germany,6,8.2,1.0,69,High,7,87,25.0,Fail
24,Male,Canada,45,8.0,3.4,96,Low,3,5,100.0,Pass
22,Male,Australia,26,8.1,3.0,92,High,1,55,52.0,Pass
20,Female,UK,45,8.7,7.0,93,High,6,61,82.0,Pass
22,Male,France,20,6.7,6.7,58,High,8,89,28.0,Fail
19,Female,Canada,33,5.0,6.3,62,High,6,8,62.0,Pass
22,Female,Pakistan,34,7.1,1.1,64,High,5,16,52.0,Pass
24,Male,UK,16,7.7,7.6,76,Low,8,48,26.0,Fail
18,Male,USA,39,7.7,3.9,64,Low,2,61,76.0,Pass
24,Female,Pakistan,15,6.6,7.0,77,High,1,15,35.0,Fail
22,Male,France,25,4.3,6.0,86,Medium,1,65,40.0,Fail
24,Male,Pakistan,25,5.9,4.1,68,High,4,22,39.0,Fail
16,Male,USA,9,8.6,2.2,75,High,6,3,30.0,Fail
19,Male,Australia,24,6.9,1.8,75,High,9,54,52.0,Pass
23,Male,Pakistan,41,6.7,8.5,74,Medium,1,14,71.0,Pass
18,Female,Germany,7,5.3,9.3,75,Medium,1,36,43.0,Fail
20,Female,UK,48,5.8,6.8,75,Medium,5,82,59.0,Pass
15,Male,Canada,37,8.5,1.9,95,Low,10,82,53.0,Pass
23,Male,Pakistan,13,7.3,4.6,77,Medium,5,67,28.0,Fail
15,Male,UK,13,7.9,7.6,98,Low,5,10,36.0,Fail
19,Female,India,8,6.3,8.0,67,Low,10,49,16.0,Fail
18,Male,UK,39,7.2,2.1,81,Medium,6,65,69.0,Pass
17,Female,Canada,21,5.2,1.0,52,Medium,8,91,24.0,Fail
20,Female,UK,38,7.5,7.4,51,Medium,3,57,58.0,Pass
16,Female,USA,28,6.1,4.2,82,Low,9,27,44.0,Fail
17,Male,France,36,6.2,3.3,91,High,1,75,60.0,Pass
19,Female,Canada,5,7.2,1.1,68,Medium,4,5,19.0,Fail
23,Male,France,12,8.7,5.9,66,Medium,9,71,19.0,Fail
16,Female,Australia,49,4.3,8.7,93,Medium,8,83,73.0,Pass
24,Male,France,27,8.1,9.6,82,Low,10,57,42.0,Fail
22,Female,India,44,5.5,6.1,61,Low,9,93,58.0,Pass
16,Male,USA,16,6.2,5.6,98,High,1,15,43.0,Fail
19,Female,Australia,16,4.1,1.8,52,Medium,9,99,34.0,Fail
21,Male,UK,19,5.5,5.9,92,Low,3,76,34.0,Fail
22,Male,Canada,45,6.5,4.4,98,High,10,30,61.0,Pass
15,Male,India,23,4.3,6.5,75,Medium,9,20,64.0,Pass
20,Male,USA,30,6.5,4.5,84,Low,1,37,49.0,Fail
15,Female,Australia,33,8.6,3.2,57,Medium,1,3,42.0,Fail
16,Female,Australia,26,4.5,1.9,85,Medium,9,73,51.0,Pass
15,Male,India,44,7.8,3.8,56,Low,6,41,40.0,Fail
19,Female,Germany,25,6.0,1.9,95,Low,4,39,50.0,Pass
24,Male,UK,42,7.3,2.6,95,Low,7,26,90.0,Pass
23,Male,India,24,5.3,9.9,85,Medium,5,2,31.0,Fail
20,Female,Australia,33,4.8,5.0,65,Medium,10,23,24.0,Fail
15,Male,Pakistan,8,4.8,5.8,73,High,7,23,6.0,Fail
15,Male,USA,11,4.4,8.9,50,Medium,8,85,25.0,Fail
16,Female,India,32,4.9,10.0,98,Low,8,16,67.0,Pass
23,Male,Germany,32,7.3,6.2,74,Medium,1,9,54.0,Pass
17,Male,Australia,8,8.4,8.3,59,High,8,13,22.0,Fail
15,Male,UK,26,8.1,3.9,65,High,6,28,56.0,Pass
19,Male,France,16,7.4,3.8,65,Low,4,27,51.0,Pass
21,Female,Australia,49,4.6,4.6,57,Low,8,51,61.0,Pass
20,Female,UK,7,5.4,7.1,78,High,3,64,4.0,Fail
15,Female,India,26,5.5,7.1,88,High,4,52,43.0,Fail
19,Male,UK,48,5.2,3.8,77,High,6,81,67.0,Pass
19,Male,Canada,6,6.6,2.2,55,Low,7,38,11.0,Fail
20,Female,Canada,28,6.7,6.7,65,High,4,100,45.0,Fail
17,Male,Canada,38,5.8,2.2,69,High,4,65,71.0,Pass
19,Male,Germany,31,5.8,6.2,65,Low,7,18,59.0,Pass
21,Male,Germany,45,8.1,7.2,56,Medium,6,63,60.0,Pass
19,Male,Pakistan,5,7.9,7.3,90,Medium,8,51,32.0,Fail
19,Female,Germany,12,5.5,7.8,63,High,1,9,35.0,Fail
19,Female,France,27,8.6,8.9,92,Medium,10,13,46.0,Fail
24,Female,India,42,8.8,5.5,75,Medium,7,40,71.0,Pass
24,Male,Australia,10,5.6,7.6,75,Medium,7,55,25.0,Fail
17,Female,Australia,26,5.8,6.6,63,Medium,7,79,60.0,Pass
15,Female,Pakistan,29,6.5,2.7,56,High,7,43,27.0,Fail
19,Male,Germany,22,8.7,1.2,82,Medium,10,44,31.0,Fail
23,Male,France,21,8.4,3.6,75,Medium,10,68,31.0,Fail
15,Female,UK,16,4.5,5.0,94,Low,8,33,40.0,Fail
17,Female,Pakistan,10,6.0,6.6,69,High,9,24,32.0,Fail
18,Female,France,30,6.8,8.6,52,Low,9,36,38.0,Fail
15,Female,UK,31,6.5,2.8,53,Low,2,10,36.0,Fail
15,Male,France,12,5.0,2.1,75,High,7,100,35.0,Fail
22,Female,UK,23,8.3,9.7,60,Medium,7,20,43.0,Fail
16,Female,USA,46,7.4,2.0,51,Low,4,75,45.0,Fail
22,Male,France,5,8.2,5.3,63,High,9,12,11.0,Fail
21,Female,Australia,33,8.3,6.3,93,Medium,8,62,40.0,Fail
24,Male,Canada,49,7.7,5.9,79,High,1,18,74.0,Pass
24,Male,Germany,39,6.2,1.8,98,Low,2,94,64.0,Pass
16,Male,UK,44,7.1,1.5,61,Medium,2,63,76.0,Pass
20,Female,USA,18,4.8,1.9,75,Medium,8,84,33.0,Fail
20,Female,France,39,7.4,6.3,93,High,1,25,60.0,Pass
17,Male,Australia,49,4.9,5.9,82,Medium,4,12,86.0,Pass
16,Female,Canada,24,7.5,3.1,62,Low,10,21,18.0,Fail
15,Female,UK,17,5.1,6.7,63,Low,5,25,35.0,Fail
20,Male,France,42,4.6,8.4,73,Low,9,11,51.0,Pass
19,Male,France,12,4.8,1.4,83,High,7,64,25.0,Fail
23,Female,UK,47,4.0,5.5,93,Medium,8,73,77.0,Pass
15,Male,Pakistan,24,7.6,7.2,75,Medium,9,50,43.0,Fail
21,Female,Pakistan,37,7.7,3.3,70,Medium,7,62,68.0,Pass
19,Female,Australia,30,6.6,3.8,77,Low,5,89,51.0,Pass
19,Female,Canada,43,4.8,6.5,97,Medium,5,99,76.0,Pass
16,Female,UK,25,4.4,9.1,85,Low,10,96,36.0,Fail
17,Male,Australia,46,4.1,8.3,89,Medium,6,49,75.0,Pass
21,Male,Australia,47,4.8,6.2,51,Low,5,14,69.0,Pass
20,Male,India,45,8.5,7.6,91,Medium,9,1,67.0,Pass
16,Male,France,13,5.2,4.3,58,High,3,81,10.0,Fail
20,Female,Germany,28,5.8,6.8,72,High,3,25,54.0,Pass
16,Female,France,41,4.5,5.2,64,Low,7,59,62.0,Pass
16,Male,Pakistan,45,5.1,2.7,62,Low,7,72,55.0,Pass
16,Female,Canada,21,6.6,7.3,72,Medium,6,69,25.0,Fail
17,Female,France,28,7.0,6.0,66,Medium,3,5,64.0,Pass
16,Female,UK,25,5.2,4.2,97,High,7,99,54.0,Pass
18,Male,Australia,43,4.3,9.2,51,Medium,5,19,57.0,Pass
23,Male,UK,45,6.0,1.2,69,Low,7,23,53.0,Pass
20,Male,India,43,5.2,3.8,69,Low,2,9,61.0,Pass
15,Female,Canada,17,5.1,1.5,95,Low,6,94,53.0,Pass
22,Male,Australia,15,8.8,7.9,52,Low,8,50,23.0,Fail
21,Male,UK,23,7.1,7.3,61,Low,1,16,39.0,Fail
24,Male,Pakistan,15,6.8,4.0,89,High,4,33,44.0,Fail
17,Male,Germany,17,6.1,7.1,51,High,1,2,26.0,Fail
15,Male,India,49,6.1,4.6,85,Low,1,14,98.0,Pass
19,Male,Canada,5,6.7,7.8,63,Medium,10,1,23.0,Fail
18,Female,India,44,7.5,5.1,65,Low,8,90,56.0,Pass
24,Female,Pakistan,48,7.5,4.7,68,High,7,58,61.0,Pass
22,Male,Canada,23,4.9,9.4,83,Low,10,89,11.0,Fail
15,Male,India,16,6.5,3.3,93,High,1,16,31.0,Fail
24,Female,USA,12,6.1,2.1,95,High,2,79,27.0,Fail
15,Female,Pakistan,12,8.4,6.3,55,Low,4,90,26.0,Fail
18,Male,Pakistan,49,7.2,9.7,62,Low,1,47,73.0,Pass
22,Male,Pakistan,16,6.7,4.4,85,Medium,3,44,27.0,Fail
19,Male,USA,37,4.6,1.6,71,High,8,80,51.0,Pass
16,Male,USA,49,7.0,4.1,67,Medium,8,14,72.0,Pass
20,Female,UK,30,4.6,5.6,61,Low,8,93,48.0,Fail
19,Male,Australia,43,5.7,2.5,79,High,6,24,47.0,Fail
16,Male,Germany,32,4.7,6.9,89,Medium,6,55,55.0,Pass
17,Male,India,9,7.5,10.0,56,Medium,5,15,6.0,Fail
23,Male,UK,12,5.0,5.1,81,Medium,9,83,34.0,Fail
21,Female,India,29,6.0,4.2,97,Low,4,72,66.0,Pass
21,Female,Germany,31,8.5,4.6,68,Low,10,34,34.0,Fail
20,Female,Australia,27,5.0,2.0,55,Low,7,2,31.0,Fail
22,Male,USA,34,6.5,8.9,69,High,1,27,55.0,Pass
18,Male,Australia,49,6.1,4.7,76,Low,9,74,46.0,Fail
22,Female,USA,27,4.1,4.5,92,High,7,99,53.0,Pass
18,Male,Germany,24,8.0,6.9,86,Medium,10,87,37.0,Fail
22,Male,Australia,22,4.3,5.0,97,Medium,9,72,52.0,Pass
23,Female,UK,22,6.4,6.8,56,Low,7,92,22.0,Fail
17,Female,Canada,6,6.8,1.6,54,Medium,2,23,14.0,Fail
17,Female,UK,8,7.1,8.3,60,Low,6,68,4.0,Fail
16,Female,India,34,7.4,9.5,64,High,10,14,35.0,Fail
24,Male,UK,37,5.3,6.8,52,Medium,4,63,42.0,Fail
17,Male,Germany,40,4.0,9.6,54,Low,3,93,70.0,Pass
17,Female,Pakistan,22,7.6,2.4,72,Medium,2,65,38.0,Fail
19,Male,India,41,6.7,5.3,86,Medium,6,68,67.0,Pass
19,Female,Australia,23,8.2,6.4,58,Low,8,63,29.0,Fail
16,Female,India,32,8.1,6.2,64,Medium,6,96,36.0,Fail
24,Male,Canada,44,8.2,4.6,52,Medium,9,97,53.0,Pass
20,Female,USA,24,6.4,4.0,78,Medium,5,90,51.0,Pass
19,Male,Australia,37,5.7,2.1,55,Medium,2,81,46.0,Fail
20,Male,France,16,8.0,4.5,66,High,8,87,35.0,Fail
15,Male,India,19,6.3,2.5,75,Medium,9,64,23.0,Fail
19,Male,Australia,45,4.9,7.6,70,Medium,10,32,55.0,Pass
23,Female,Australia,43,8.3,2.9,57,Low,4,79,68.0,Pass
24,Male,Australia,6,8.4,1.5,70,High,6,13,13.0,Fail
16,Female,USA,33,6.3,6.0,60,Low,10,66,43.0,Fail
15,Female,France,45,4.4,6.4,87,Low,8,19,65.0,Pass
24,Female,Germany,14,5.9,8.8,57,Low,9,24,22.0,Fail
23,Female,UK,6,8.0,6.2,91,High,5,88,3.0,Fail
24,Male,Australia,15,8.5,4.1,73,Low,6,11,13.0,Fail
23,Male,Pakistan,17,5.0,8.2,84,Low,4,59,46.0,Fail
23,Female,Germany,14,4.3,5.9,63,Low,5,86,39.0,Fail
20,Female,Canada,18,8.4,1.7,63,Medium,7,15,21.0,Fail
22,Male,USA,22,5.9,6.1,59,Low,9,10,28.0,Fail
15,Female,India,13,6.7,9.2,61,High,10,41,22.0,Fail
24,Male,USA,43,8.8,4.6,87,High,6,27,76.0,Pass
18,Female,India,32,4.3,3.7,93,Medium,6,60,37.0,Fail
15,Male,USA,7,7.2,2.3,95,High,8,73,16.0,Fail
22,Female,India,24,4.4,2.4,83,High,4,52,44.0,Fail
15,Female,Australia,10,5.9,4.9,90,Medium,3,28,42.0,Fail
17,Male,UK,31,8.0,6.4,59,Low,7,65,69.0,Pass
18,Female,India,6,6.2,1.7,66,Medium,5,17,17.0,Fail
22,Female,France,33,9.0,9.5,66,Low,2,95,42.0,Fail
20,Male,India,42,6.8,7.8,52,Low,2,44,67.0,Pass
